uid1;uid2;time
17.0;161.0;1262454010.0
17.0;146.0;1262454010.0
17.0;90.0;1262454010.0
17.0;105.0;1262454010.0
17.0;129.0;1262454010.0
17.0;62.0;1262454010.0
39.0;81.0;1262583526.0
39.0;81.0;1262583575.0
112.0;60.0;1262585429.0
112.0;57.0;1262585488.0
112.0;94.0;1262585516.0
77.0;162.0;1262586908.0
142.0;117.0;1262587000.0
117.0;30.0;1262587333.0
117.0;142.0;1262587438.0
158.0;65.0;1262587685.0
158.0;162.0;1262587685.0
158.0;135.0;1262587685.0
158.0;150.0;1262587685.0
150.0;158.0;1262587713.0
65.0;158.0;1262587750.0
91.0;60.0;1262588054.0
66.0;89.0;1262588121.0
162.0;158.0;1262588321.0
162.0;77.0;1262588340.0
94.0;60.0;1262588413.0
143.0;60.0;1262588513.0
133.0;19.0;1262588553.0
133.0;73.0;1262588553.0
133.0;144.0;1262588553.0
47.0;78.0;1262588796.0
33.0;45.0;1262588892.0
108.0;60.0;1262588989.0
47.0;136.0;1262589053.0
146.0;17.0;1262589108.0
146.0;17.0;1262589145.0
146.0;19.0;1262589178.0
146.0;19.0;1262589210.0
44.0;47.0;1262589248.0
33.0;60.0;1262589265.0
44.0;60.0;1262589270.0
117.0;57.0;1262589288.0
136.0;166.0;1262589314.0
136.0;123.0;1262589314.0
166.0;136.0;1262589380.0
136.0;166.0;1262589431.0
116.0;83.0;1262589505.0
116.0;166.0;1262589564.0
152.0;47.0;1262589703.0
81.0;95.0;1262589730.0
47.0;152.0;1262589743.0
81.0;64.0;1262589780.0
81.0;166.0;1262589788.0
116.0;94.0;1262589827.0
81.0;60.0;1262589922.0
81.0;94.0;1262589922.0
116.0;60.0;1262589986.0
116.0;47.0;1262590037.0
147.0;94.0;1262590477.0
127.0;65.0;1262590820.0
127.0;94.0;1262590849.0
137.0;126.0;1262590932.0
137.0;27.0;1262590932.0
137.0;47.0;1262590932.0
133.0;73.0;1262590954.0
80.0;166.0;1262590990.0
80.0;94.0;1262591156.0
64.0;60.0;1262591326.0
55.0;60.0;1262591410.0
162.0;77.0;1262591577.0
105.0;97.0;1262591631.0
129.0;110.0;1262591636.0
129.0;14.0;1262591636.0
129.0;163.0;1262591636.0
135.0;158.0;1262591640.0
105.0;60.0;1262591642.0
77.0;162.0;1262591667.0
123.0;136.0;1262591802.0
