NodeID,CogsnetVector
17,"0.815258,0.809435,0.488633,0.745553,0.691231,0.739439,0.857606,0.762822,0.628835,0.778262,0.707452,0.763940,0.753823,0.925614,0.765974,0.656642,0.696197,0.750151,0.727472,0.809589,0.898339,0.874293,0.709406,0.919075,0.793816,0.695374,0.732169,0.488502,0.639251,0.776941,0.831058,0.660254,0.343442,0.716233,0.719588,0.728700,0.619971,0.660667,0.601508,0.000000,0.756805,0.773801,0.859101,0.441870,0.863662,0.630244,0.000000,0.673989,0.819083,0.713334,0.731155,0.660645,0.775939,0.399123,0.734886,0.770407,0.836766,0.802988,0.000000,0.820255,0.728693,0.803217,0.820195,0.847184,0.868898,0.000000,0.696966,0.000000,0.671878,0.000000,0.707393,0.808562,0.000000,0.832073,0.000000,0.629828,0.671576,0.781197,0.950042,0.000000,0.806283,0.860005,0.805306,0.450195,0.825843,0.755757,0.736523,0.773781,0.604478,0.802631,0.824349"
161,"0.799418,0.831220,0.000000,0.708311,0.000000,0.691972,0.397652,0.699244,0.568178,0.919693,0.704028,0.799401,0.911581,0.449326,0.809250,0.958135,0.528323,0.825417,0.805806,0.797043,0.850171,0.951401,0.699884,0.636679,0.727866,0.648907,0.814604,0.927162,0.743611,0.698179,0.841536,0.842732,0.725343,0.790904,0.663028,0.858239,0.633158,0.801230,0.819387,0.692159,0.524322,0.622038,0.790674,0.722714,0.000000,0.782674,0.624111,0.620186,0.701864,0.838368,0.640802,0.683389,0.724184,0.636299,0.729884,0.753079,0.827124,0.795175,0.760890,0.701099,0.848718,0.843826,0.599332,0.896839,0.800676,0.000000,0.783430,0.470457,0.737181,0.661488,0.734403,0.877062,0.000000,0.000000,0.379386,0.743301,0.448749,0.685125,0.470910,0.000000,0.489696,0.507343,0.785595,0.580739,0.924013,0.755452,0.000000,0.839661,0.750174,0.836721,0.000000"
146,"0.670085,0.672006,0.672154,0.693842,0.000000,0.699631,0.397652,0.703074,0.649098,0.672304,0.743845,0.000000,0.800908,0.000000,0.758389,0.895960,0.000000,0.758490,0.000000,0.780650,0.000000,0.608363,0.000000,0.478907,0.759217,0.664459,0.712863,0.821372,0.791091,0.618620,0.865130,0.779119,0.879585,0.826807,0.892884,0.786595,0.846329,0.000000,0.730997,0.000000,0.693965,0.720725,0.577978,0.702769,0.000000,0.671110,0.879008,0.795852,0.000000,0.919747,0.659526,0.628901,0.601395,0.883940,0.802168,0.934892,0.743068,0.645758,0.958126,0.903741,0.769735,0.850683,0.905601,0.908260,0.844429,0.000000,0.848598,0.000000,0.782029,0.000000,0.824985,0.896663,0.000000,0.000000,0.000000,0.653044,0.000000,0.688288,0.000000,0.000000,0.467750,0.885853,0.921259,0.935165,0.741740,0.802799,0.909623,0.801546,0.751061,0.702271,0.814096"
90,"0.725412,0.771267,0.772784,0.748001,0.877196,0.858814,0.632504,0.866548,0.784619,0.907549,0.838031,0.835991,0.765129,0.818563,0.822156,0.792152,0.818447,0.757711,0.817527,0.843100,0.655088,0.892822,0.754886,0.809021,0.788384,0.794346,0.774168,0.638782,0.829912,0.620445,0.808816,0.770305,0.809915,0.858372,0.788193,0.798372,0.780942,0.776353,0.787130,0.764380,0.730124,0.731069,0.860648,0.799820,0.828531,0.755552,0.689758,0.809460,0.705411,0.833676,0.826897,0.802250,0.801397,0.829887,0.705080,0.814714,0.884750,0.831670,0.597455,0.672010,0.674981,0.834475,0.684546,0.841186,0.797982,0.821402,0.717386,0.623231,0.864345,0.752882,0.825489,0.835501,0.940539,0.714743,0.788901,0.824727,0.798254,0.862441,0.687121,0.872324,0.787185,0.793269,0.846158,0.780951,0.851779,0.680801,0.713259,0.802153,0.619624,0.709487,0.806752"
105,"0.681084,0.776936,0.775866,0.710692,0.839267,0.750365,0.702823,0.892323,0.733676,0.817546,0.716444,0.890551,0.798562,0.824309,0.785219,0.739180,0.000000,0.675759,0.000000,0.725908,0.000000,0.500381,0.631354,0.735400,0.568886,0.499061,0.618540,0.315189,0.599338,0.588513,0.842335,0.674151,0.779336,0.761590,0.553720,0.723280,0.931941,0.000000,0.754252,0.000000,0.632477,0.827410,0.831416,0.605517,0.954413,0.623756,0.000000,0.626041,0.400676,0.783083,0.565421,0.480670,0.621835,0.000000,0.642739,0.649141,0.630245,0.906938,0.763853,0.816002,0.850353,0.637231,0.810799,0.544276,0.579643,0.000000,0.708304,0.000000,0.343389,0.000000,0.819689,0.586836,0.000000,0.375974,0.000000,0.665502,0.000000,0.663107,0.559877,0.492719,0.903490,0.889509,0.594193,0.450380,0.691064,0.851228,0.000000,0.858995,0.649914,0.732659,0.000000"
129,"0.710107,0.672220,0.719106,0.678782,0.712669,0.745472,0.583851,0.804404,0.728272,0.720236,0.857656,0.744795,0.865311,0.763372,0.850602,0.856243,0.711730,0.877392,0.776393,0.810055,0.820805,0.754825,0.889068,0.000000,0.858645,0.781503,0.613965,0.768101,0.675018,0.786852,0.808700,0.730660,0.823684,0.777133,0.718960,0.784660,0.864831,0.613048,0.762537,0.877803,0.863555,0.778158,0.690153,0.827794,0.577662,0.791212,0.836560,0.784826,0.773064,0.744766,0.831470,0.432262,0.524023,0.497355,0.589673,0.812719,0.753714,0.861824,0.923556,0.825667,0.756687,0.797088,0.875755,0.728569,0.443180,0.712665,0.673483,0.574559,0.758013,0.808693,0.624986,0.744816,0.848608,0.646547,0.723888,0.746860,0.628756,0.786735,0.835968,0.000000,0.771525,0.755793,0.701054,0.000000,0.800727,0.813215,0.786119,0.675370,0.633236,0.820220,0.785004"
62,"0.771979,0.755565,0.672382,0.797817,0.549685,0.803168,0.540556,0.700969,0.697897,0.904463,0.825817,0.824665,0.716635,0.781021,0.744476,0.794711,0.763293,0.752206,0.000000,0.648222,0.756301,0.740827,0.656062,0.000000,0.835154,0.725426,0.712641,0.553895,0.835895,0.745288,0.842626,0.758517,0.000000,0.667856,0.740489,0.837080,0.763249,0.000000,0.781914,0.693063,0.744839,0.826551,0.781810,0.784026,0.721719,0.734226,0.366545,0.737125,0.643647,0.729941,0.920791,0.727947,0.451632,0.642824,0.731743,0.682598,0.800321,0.698073,0.630937,0.785172,0.781236,0.861292,0.683076,0.864417,0.814839,0.000000,0.793128,0.785471,0.829532,0.766170,0.718959,0.846006,0.000000,0.269561,0.601587,0.550578,0.439442,0.663153,0.778573,0.829256,0.642024,0.880963,0.835697,0.760820,0.813630,0.680749,0.847409,0.835795,0.774937,0.808633,0.750762"
39,"0.631477,0.782593,0.947468,0.764606,0.561401,0.801237,0.759038,0.723054,0.721036,0.842735,0.822907,0.796993,0.728507,0.808805,0.872425,0.797878,0.795090,0.830887,0.838696,0.649911,0.874540,0.726487,0.692144,0.876417,0.769961,0.834809,0.520063,0.744902,0.647991,0.520591,0.000000,0.710031,0.761773,0.509096,0.718066,0.778343,0.703690,0.817917,0.723038,0.726441,0.826998,0.791084,0.927693,0.743206,0.891815,0.713154,0.577126,0.675472,0.843273,0.752436,0.814829,0.822309,0.880965,0.347764,0.486621,0.660763,0.000000,0.577128,0.528354,0.470170,0.526101,0.720858,0.595119,0.765341,0.787738,0.826678,0.841341,0.548896,0.660815,0.000000,0.618281,0.663908,0.648387,0.742353,0.895615,0.655695,0.783932,0.906432,0.702872,0.792495,0.641218,0.866664,0.894010,0.261688,0.000000,0.691013,0.514690,0.564600,0.483266,0.557269,0.763431"
81,"0.624890,0.820055,0.952857,0.868386,0.872232,0.952594,0.568259,0.703985,0.735839,0.000000,0.647223,0.841854,0.846028,0.796395,0.779445,0.753034,0.887464,0.757246,0.000000,0.524526,0.672675,0.699526,0.774380,0.903197,0.823754,0.751354,0.854588,0.811101,0.948706,0.491010,0.000000,0.664909,0.855920,0.918338,0.747416,0.878269,0.534389,0.741972,0.798355,0.879559,0.529830,0.788004,0.867195,0.601020,0.000000,0.548567,0.788086,0.604620,0.865028,0.930974,0.539745,0.000000,0.410112,0.000000,0.421186,0.854938,0.708014,0.690268,0.000000,0.618184,0.000000,0.824299,0.820446,0.806773,0.833183,0.953866,0.938523,0.401208,0.878976,0.696187,0.516253,0.896953,0.972303,0.578067,0.818696,0.790603,0.917440,0.817359,0.915635,0.574992,0.570041,0.870713,0.742847,0.843610,0.870545,0.967184,0.972564,0.832911,0.681300,0.627177,0.847480"
112,"0.595012,0.711125,0.879067,0.774133,0.000000,0.714570,0.670304,0.688557,0.763866,0.914419,0.872106,0.000000,0.775987,0.828101,0.839063,0.726479,0.783444,0.753353,0.902780,0.855874,0.844531,0.713218,0.772378,0.810759,0.869732,0.742691,0.664777,0.710457,0.715240,0.644134,0.000000,0.809763,0.000000,0.672170,0.000000,0.000000,0.639133,0.483077,0.398014,0.000000,0.619367,0.555550,0.685874,0.677808,0.000000,0.270550,0.399849,0.373399,0.720758,0.769081,0.617075,0.000000,0.459481,0.000000,0.596958,0.000000,0.816415,0.630229,0.738951,0.627121,0.374506,0.790422,0.884281,0.000000,0.000000,0.516630,0.655784,0.000000,0.972606,0.557221,0.582028,0.447001,0.000000,0.581757,0.736708,0.725511,0.644141,0.713955,0.449573,0.617929,0.638735,0.616071,0.606087,0.000000,0.000000,0.460509,0.454838,0.715885,0.644854,0.706782,0.000000"
