NodeID,CogsnetVector
17,"9.783099,10.522653,0.488633,5.964426,2.764926,5.176072,1.715211,6.865396,1.886504,7.782617,9.196871,2.291819,8.292053,0.925614,5.361816,72.230614,11.139149,7.501512,4.364830,12.953431,1.796678,6.994347,1.418812,0.919075,7.144345,1.390748,6.589520,1.465507,7.671015,9.323295,5.817405,8.583306,0.686883,7.878559,2.878351,8.015697,3.719823,2.642669,4.812064,0.000000,8.324859,6.964205,6.872811,0.883741,0.863662,7.562933,0.000000,7.413875,0.819083,8.560002,8.042708,4.624516,7.759388,0.399123,9.553515,6.933661,8.367661,1.605976,0.000000,10.663321,7.286929,8.835382,6.561559,7.624655,2.606694,0.000000,10.454492,0.000000,6.046898,0.000000,12.025687,8.894182,0.000000,0.832073,0.000000,8.187769,4.029455,6.249573,1.900083,0.000000,11.287964,6.880037,9.663672,0.450195,7.432585,5.290298,2.946090,9.285366,1.813434,8.026310,0.824349"
161,"1.598836,1.662441,0.000000,1.416622,0.000000,0.691972,0.397652,0.699244,0.568178,0.919693,1.408056,1.598801,0.911581,0.449326,0.809250,0.958135,0.528323,2.476251,0.805806,2.391130,1.700342,1.902802,1.399768,1.273358,5.822926,0.648907,3.258416,0.927162,3.718054,7.679964,0.841536,2.528196,2.176029,2.372712,1.989084,0.858239,3.165790,2.403690,2.458162,1.384318,2.097288,3.110192,2.372023,2.168142,0.000000,0.782674,0.624111,1.860558,2.105592,2.515105,1.281604,1.366778,4.345102,1.908897,4.379302,3.012315,1.654248,5.566227,0.760890,2.804394,2.546154,4.219131,1.198664,4.484197,3.202704,0.000000,0.783430,1.411372,2.211543,3.968927,4.406420,4.385312,0.000000,0.000000,0.758771,1.486603,0.897497,0.685125,0.941820,0.000000,2.448481,1.522030,2.356785,1.742217,1.848026,1.510904,0.000000,2.518983,1.500349,1.673442,0.000000"
146,"2.010254,1.344012,0.672154,2.081527,0.000000,0.699631,0.397652,0.703074,1.298195,2.016913,2.231534,0.000000,1.601816,0.000000,1.516779,0.895960,0.000000,0.758490,0.000000,3.122601,0.000000,3.041813,0.000000,0.957814,1.518434,1.328918,1.425725,0.821372,2.373273,3.093100,0.865130,2.337358,0.879585,2.480420,0.892884,2.359784,0.846329,0.000000,1.461994,0.000000,1.387930,1.441451,1.733935,1.405537,0.000000,0.671110,0.879008,2.387556,0.000000,1.839494,1.319051,0.628901,2.405578,0.883940,2.406503,0.934892,2.972272,1.291517,0.958126,3.614964,1.539470,3.402732,1.811202,1.816519,1.688858,0.000000,2.545794,0.000000,1.564059,0.000000,0.824985,0.896663,0.000000,0.000000,0.000000,0.653044,0.000000,0.688288,0.000000,0.000000,1.403251,0.885853,1.842517,0.935165,2.225219,0.802799,1.819246,0.801546,1.502123,2.809083,2.442287"
90,"6.528704,9.255210,2.318352,4.488006,1.754392,6.011699,4.427526,6.932387,6.276951,6.352840,8.380313,3.343964,4.590773,7.367071,9.043714,7.129370,1.636895,7.577115,4.905159,9.274105,5.240707,3.571289,3.019543,1.618043,5.518690,3.177386,6.193347,5.749040,5.809383,6.824893,0.808816,11.554572,3.239662,6.866977,5.517348,3.991858,7.809423,2.329059,7.871303,4.586279,3.650622,8.041754,7.745829,4.798923,3.314123,6.044415,2.759031,4.047297,5.643290,7.503084,5.788276,6.417997,8.013969,3.319546,4.230480,5.703000,7.077997,6.653361,2.987274,5.376080,4.049883,12.517125,4.791821,5.047117,3.989909,2.464207,7.891243,4.362616,5.186071,5.270177,6.603915,8.355006,3.762154,10.006409,3.944504,8.247267,4.789523,6.899525,6.184085,2.616973,9.446225,6.346155,7.615425,3.904753,4.258894,6.127209,2.139776,6.417221,3.717746,6.385386,3.227007"
105,"2.724336,2.330807,1.551732,3.553460,0.839267,4.502192,16.164940,4.461615,3.668382,4.087728,5.015109,2.671652,5.589931,3.297235,2.355656,1.478361,0.000000,2.027278,0.000000,3.629538,0.000000,17.012947,12.627083,2.941601,1.706657,1.497182,1.855621,0.315189,2.996692,5.885128,0.842335,4.044908,2.338007,3.046360,0.553720,0.723280,0.931941,0.000000,1.508505,0.000000,1.897430,0.827410,0.831416,1.211034,0.954413,1.871267,0.000000,2.504164,1.602703,1.566166,1.696262,0.480670,2.487342,0.000000,6.427392,4.543986,8.193189,3.627753,3.055414,2.448007,0.850353,1.274461,1.621599,1.632828,0.579643,0.000000,0.708304,0.000000,0.686778,0.000000,4.098445,1.760507,0.000000,2.255844,0.000000,0.665502,0.000000,1.326215,1.679630,0.985437,1.806980,0.889509,3.565161,0.450380,2.764255,0.851228,0.000000,2.576985,0.649914,2.930634,0.000000"
129,"4.260640,3.361101,2.876426,2.036345,0.712669,3.727358,1.751554,2.413212,5.826176,2.880945,6.861251,2.979179,2.595934,3.053489,5.954215,5.993703,1.423460,4.386961,3.105571,6.480440,6.566439,11.322371,3.556274,0.000000,3.434579,3.907516,1.227930,3.840504,2.700073,6.294813,0.808700,4.383963,2.471053,2.331400,3.594802,3.923302,6.053819,1.839144,6.100299,2.633409,3.454218,3.890788,3.450765,3.311178,3.465972,3.956062,2.509681,3.139306,1.546128,4.468598,0.831470,0.864524,2.620115,3.978839,3.538038,7.314474,3.768568,5.170942,0.923556,2.477002,5.296808,3.985439,0.875755,2.185707,1.772721,2.137995,4.714379,2.872794,3.032051,3.234773,3.749919,5.213715,2.545824,3.879282,3.619439,5.228022,4.401294,3.146939,5.015810,0.000000,6.172200,3.778965,2.804216,0.000000,1.601454,0.813215,3.144477,6.078334,3.166182,4.921319,1.570009"
62,"7.719792,7.555654,0.672382,6.382533,1.649055,6.425342,2.162225,2.102908,4.885280,2.713390,3.303269,1.649330,6.449711,4.686125,2.977904,6.357690,2.289879,3.761032,0.000000,3.241112,5.294106,7.408269,1.968186,0.000000,2.505462,1.450852,4.988488,3.323372,3.343581,11.924603,0.842626,6.068133,0.000000,8.682134,11.847817,9.207876,3.816244,0.000000,3.127658,5.544507,5.213872,7.438961,7.036289,6.272211,1.443438,3.671129,0.366545,3.685624,5.792819,5.839527,1.841583,1.455893,1.354896,3.856942,2.195228,6.143383,1.600641,4.886512,4.416561,10.992408,4.687418,3.445167,6.147683,3.457667,4.889033,0.000000,2.379385,3.141883,3.318127,3.064680,7.189589,4.230032,0.000000,1.347804,1.203175,1.101156,0.439442,3.978916,5.450013,3.317025,7.704294,1.761926,5.014184,3.043281,4.881783,8.168985,12.711142,12.536922,7.749370,14.555401,15.766006"
39,"8.209208,13.304086,1.894936,6.881456,2.807007,8.012372,4.554230,7.953591,5.768288,2.528204,14.812321,3.187974,10.199094,4.044024,10.469099,11.968175,4.770539,11.632425,5.870872,5.199292,0.874540,12.350281,6.921436,3.505666,6.159692,1.669618,2.080251,3.724511,5.183928,7.808866,0.000000,8.520368,1.523547,2.545479,6.462591,8.561776,3.518451,2.453750,15.183807,3.632206,0.826998,2.373251,8.349234,10.404885,2.675445,9.984160,2.308502,4.728302,2.529820,8.276793,1.629658,3.289237,2.642896,0.695529,3.406350,3.964577,0.000000,1.731383,3.170123,9.403394,2.630504,12.254585,3.570716,8.418756,13.391551,2.480035,1.682683,1.646688,1.982446,0.000000,7.419376,5.311266,3.241935,8.165882,0.895615,6.556949,4.703590,2.719296,2.811486,1.584990,2.564871,0.866664,0.894010,0.523376,0.000000,2.073038,3.602828,2.823001,1.933064,6.129959,4.580587"
81,"9.998240,3.280218,0.952857,2.605158,1.744464,1.905188,1.136517,1.407970,4.415034,0.000000,8.413902,2.525561,0.846028,1.592790,3.117781,3.012136,2.662393,4.543478,0.000000,7.343368,2.018026,4.896685,4.646278,2.709592,3.295017,3.005418,1.709177,1.622201,2.846119,8.838178,0.000000,3.989454,1.711840,0.918338,1.494831,1.756537,1.603168,2.225915,3.193421,0.879559,5.298302,3.152015,2.601586,1.803061,0.000000,2.194269,0.788086,1.813859,1.730055,2.792922,7.016685,0.000000,0.410112,0.000000,0.842371,0.854938,1.416028,1.380536,0.000000,8.654580,0.000000,2.472897,4.102231,4.033863,4.999101,0.953866,0.938523,1.604831,1.757953,1.392373,5.678782,1.793907,0.972303,2.890335,1.637393,2.371809,0.917440,3.269435,1.831271,1.724977,6.840496,0.870713,2.228540,0.843610,2.611635,0.967184,1.945127,1.665823,2.043900,2.508706,1.694959"
112,"2.975061,3.555625,1.758135,1.548265,0.000000,5.716557,2.010913,8.262685,9.930258,2.743257,6.976845,0.000000,2.327961,1.656202,7.551567,2.905915,3.917222,2.260058,0.902780,7.702868,0.844531,12.837919,6.179027,4.864554,3.478928,2.970765,0.664777,0.710457,2.860961,6.441339,0.000000,3.239050,0.000000,0.672170,0.000000,0.000000,3.834797,0.483077,0.398014,0.000000,1.858101,1.666649,1.371748,2.033423,0.000000,2.164399,0.399849,0.373399,2.162274,1.538162,0.617075,0.000000,1.378443,0.000000,3.581751,0.000000,0.816415,1.890686,1.477902,1.254243,1.123517,0.790422,0.884281,0.000000,0.000000,2.066522,1.311569,0.000000,0.972606,1.114442,3.492171,0.447001,0.000000,8.726356,0.736708,0.725511,0.644141,1.427910,0.449573,1.235857,2.554940,0.616071,3.030434,0.000000,0.000000,0.921018,2.274192,2.147656,1.289709,1.413564,0.000000"
