uid1,uid2,weight
17,17,0.000000
17,161,0.926471
17,146,0.900922
17,90,0.908801
17,105,0.901610
17,129,0.914559
17,62,0.958613
17,39,0.873449
17,81,0.681269
17,112,0.874621
17,60,0.000000
17,57,0.000000
17,94,0.874251
17,77,0.749221
17,162,0.690816
17,142,0.749277
17,117,0.690058
17,30,0.500000
17,158,0.000000
17,65,0.500000
17,135,0.000000
17,150,0.749779
17,91,0.749701
17,66,0.614863
17,89,0.921588
17,143,0.687284
17,133,0.000000
17,19,0.000000
17,73,0.959049
17,144,0.686380
17,47,0.749837
17,78,0.000000
17,33,0.749564
17,45,0.000000
17,108,0.000000
17,136,0.000000
17,44,0.937225
17,166,0.000000
17,123,0.749451
17,116,0.749735
17,83,0.000000
17,152,0.873851
17,95,0.500000
17,64,0.999711
17,147,0.686189
17,127,0.748525
17,137,0.500000
17,126,0.689349
17,27,0.500000
17,80,0.903922
17,55,0.500000
17,97,0.000000
17,110,0.821549
17,14,0.776057
17,163,0.000000
17,69,0.500000
17,32,0.000000
17,153,0.749989
17,167,0.539674
17,113,0.749393
17,121,0.749843
17,3,0.500000
17,132,0.937353
17,36,0.500000
17,130,0.000000
17,58,0.748034
17,11,0.000000
17,119,0.500000
17,8,0.000000
17,155,0.808919
17,128,0.296623
17,86,0.749006
17,35,0.500000
17,151,0.000000
17,102,0.788280
17,67,0.500000
17,13,0.500000
17,41,0.000000
17,18,0.892748
17,118,0.921968
17,104,0.749334
17,148,0.000000
17,85,0.500000
17,103,0.000000
17,82,0.000000
17,160,0.000000
17,56,0.872052
17,98,0.722159
17,74,0.749560
17,138,0.000000
17,54,0.968440
17,156,0.000000
17,140,0.746329
17,145,0.690312
17,72,0.749447
17,2,0.500000
17,92,0.500000
17,107,0.500000
17,50,0.815473
17,84,0.682842
17,165,0.749971
17,49,0.500000
17,111,0.000000
17,28,0.000000
17,157,0.601038
17,22,0.857904
17,61,0.500000
17,164,0.500000
17,52,0.500000
17,29,0.000000
17,37,0.000000
17,79,0.500000
17,154,0.500000
17,101,0.500000
17,109,0.686188
17,124,0.500000
17,15,0.684562
17,141,0.724011
17,125,0.689735
17,88,0.749942
17,134,0.748221
17,63,0.500000
17,75,0.000000
17,31,0.000000
17,51,0.500000
17,21,0.500000
17,100,0.000000
17,48,0.500000
17,68,0.000000
17,12,0.749999
17,149,0.748260
17,16,0.000000
17,25,0.500000
17,115,0.000000
17,159,0.500000
17,59,0.000000
17,139,0.000000
17,122,0.000000
17,114,0.000000
17,120,0.000000
17,26,0.000000
17,70,0.000000
17,5,0.000000
17,7,0.000000
17,10,0.000000
17,9,0.000000
17,42,0.749983
17,40,0.000000
17,34,0.749781
17,99,0.000000
17,76,0.000000
17,131,0.000000
17,38,0.000000
17,20,0.000000
17,4,0.000000
