model,params,precision
NSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,"[0.5625, 0.6153846153846154, 0.5257731958762887, 0.45384615384615384, 0.42592592592592593, 0.41025641025641024, 0.41409691629955947, 0.4153846153846154, 0.3972602739726027, 0.37846153846153846]"
NSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,"[0.8125, 0.7692307692307693, 0.6907216494845361, 0.6461538461538462, 0.6111111111111112, 0.5692307692307692, 0.5418502202643172, 0.5038461538461538, 0.4828767123287671, 0.4553846153846154]"
CNSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,"[0.53125, 0.5230769230769231, 0.4845360824742268, 0.47692307692307695, 0.42592592592592593, 0.41025641025641024, 0.41409691629955947, 0.4076923076923077, 0.3904109589041096, 0.37846153846153846]"
CNSCV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,"[0.84375, 0.7384615384615385, 0.6597938144329897, 0.6230769230769231, 0.5555555555555556, 0.5333333333333333, 0.5066079295154186, 0.47692307692307695, 0.4554794520547945, 0.4276923076923077]"
NSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,"[0.3125, 0.4, 0.41237113402061853, 0.4230769230769231, 0.41975308641975306, 0.4205128205128205, 0.42290748898678415, 0.4, 0.3904109589041096, 0.37538461538461537]"
NSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,"[0.125, 0.1076923076923077, 0.12371134020618557, 0.13846153846153847, 0.1728395061728395, 0.2205128205128205, 0.2422907488986784, 0.24615384615384617, 0.25, 0.2553846153846154]"
CNSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,"[0.375, 0.4307692307692308, 0.4329896907216495, 0.4230769230769231, 0.3950617283950617, 0.4153846153846154, 0.40969162995594716, 0.38461538461538464, 0.3835616438356164, 0.3630769230769231]"
CNSCTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-avg.csv,"[0.125, 0.09230769230769231, 0.14432989690721648, 0.16153846153846155, 0.17901234567901234, 0.2205128205128205, 0.2511013215859031, 0.25, 0.2671232876712329, 0.27076923076923076]"
CNSTV,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-sum.csv,"[0.125, 0.1076923076923077, 0.14432989690721648, 0.17692307692307693, 0.19753086419753085, 0.2358974358974359, 0.23348017621145375, 0.25384615384615383, 0.2705479452054795, 0.27076923076923076]"
CNS,results/cogsnet-linear-72-0.5-0.2-0.0017857142857142854-3600-weights.csv,"[0.84375, 0.6615384615384615, 0.6804123711340206, 0.5923076923076923, 0.5308641975308642, 0.47692307692307695, 0.4581497797356828, 0.45, 0.4383561643835616, 0.42153846153846153]"
CN,,"[0.875, 0.7076923076923077, 0.6597938144329897, 0.5538461538461539, 0.4876543209876543, 0.47692307692307695, 0.44493392070484583, 0.4307692307692308, 0.4041095890410959, 0.39384615384615385]"
NSTV,,"[0.125, 0.09230769230769231, 0.12371134020618557, 0.16153846153846155, 0.19135802469135801, 0.23076923076923078, 0.23348017621145375, 0.23846153846153847, 0.2636986301369863, 0.27692307692307694]"
